Name,Size,Time
ddot,10000,46
ddot,10000,35
ddot,10000,36
ddot,10000,36
ddot,10000,35
ddot,10000,36
ddot,10000,36
ddot,10000,35
ddot,10000,35
dgemv,100,42
dgemv,100,32
dgemv,100,33
dgemv,100,32
dgemv,100,31
dgemv,100,32
dgemv,100,32
dgemv,100,32
dgemv,100,32
ddot,40000,286
ddot,40000,211
ddot,40000,192
ddot,40000,204
ddot,40000,193
ddot,40000,189
ddot,40000,224
ddot,40000,198
ddot,40000,188
dgemv,200,191
dgemv,200,152
dgemv,200,149
dgemv,200,153
dgemv,200,150
dgemv,200,149
dgemv,200,158
dgemv,200,155
dgemv,200,149
ddot,90000,923
ddot,90000,674
ddot,90000,668
ddot,90000,665
ddot,90000,649
ddot,90000,648
ddot,90000,664
ddot,90000,665
ddot,90000,663
dgemv,300,504
dgemv,300,482
dgemv,300,481
dgemv,300,498
dgemv,300,497
dgemv,300,496
dgemv,300,479
dgemv,300,478
dgemv,300,480
ddot,160000,2085
ddot,160000,1599
ddot,160000,1637
ddot,160000,1621
ddot,160000,1652
ddot,160000,1610
ddot,160000,1621
ddot,160000,1610
ddot,160000,1631
dgemv,400,1178
dgemv,400,1166
dgemv,400,1173
dgemv,400,1182
dgemv,400,1218
dgemv,400,1188
dgemv,400,1163
dgemv,400,1144
dgemv,400,1213
ddot,250000,2059
ddot,250000,1786
ddot,250000,1786
ddot,250000,1784
ddot,250000,1768
ddot,250000,1768
ddot,250000,1784
ddot,250000,1783
ddot,250000,1782
dgemv,500,1420
dgemv,500,1388
dgemv,500,1388
dgemv,500,1404
dgemv,500,1406
dgemv,500,1406
dgemv,500,1391
dgemv,500,1390
dgemv,500,1389
ddot,360000,2941
ddot,360000,2713
ddot,360000,2715
ddot,360000,2701
ddot,360000,2717
ddot,360000,2927
ddot,360000,2706
ddot,360000,2721
ddot,360000,2719
dgemv,600,1967
dgemv,600,1948
dgemv,600,1947
dgemv,600,1947
dgemv,600,1948
dgemv,600,1950
dgemv,600,1945
dgemv,600,1945
dgemv,600,1952
ddot,490000,5726
ddot,490000,5195
ddot,490000,5280
ddot,490000,5293
ddot,490000,5402
ddot,490000,5259
ddot,490000,5232
ddot,490000,5247
ddot,490000,5229
dgemv,700,3674
dgemv,700,3625
dgemv,700,3590
dgemv,700,3568
dgemv,700,3638
dgemv,700,3570
dgemv,700,3573
dgemv,700,3612
dgemv,700,3629
ddot,640000,4756
ddot,640000,4485
ddot,640000,4489
ddot,640000,4541
ddot,640000,4487
ddot,640000,4488
ddot,640000,4490
ddot,640000,4491
ddot,640000,4486
dgemv,800,3547
dgemv,800,3519
dgemv,800,3517
dgemv,800,3523
dgemv,800,3517
dgemv,800,3518
dgemv,800,3521
dgemv,800,3518
dgemv,800,3513
ddot,810000,5727
ddot,810000,5465
ddot,810000,5467
ddot,810000,5446
ddot,810000,5506
ddot,810000,5666
ddot,810000,5536
ddot,810000,5561
ddot,810000,5563
dgemv,900,4377
dgemv,900,4407
dgemv,900,4349
dgemv,900,4395
dgemv,900,4434
dgemv,900,4428
dgemv,900,4442
dgemv,900,4390
dgemv,900,4405
ddot,1000000,7128
ddot,1000000,6858
ddot,1000000,6864
ddot,1000000,6882
ddot,1000000,6805
ddot,1000000,6823
ddot,1000000,6824
ddot,1000000,6823
ddot,1000000,6819
dgemv,1000,5430
dgemv,1000,5385
dgemv,1000,5377
dgemv,1000,5394
dgemv,1000,5364
dgemv,1000,5347
dgemv,1000,5348
dgemv,1000,5350
dgemv,1000,5348
ddot,1210000,10286
ddot,1210000,10011
ddot,1210000,10028
ddot,1210000,10009
ddot,1210000,10002
ddot,1210000,10028
ddot,1210000,9974
ddot,1210000,9991
ddot,1210000,9976
dgemv,1100,7448
dgemv,1100,7421
dgemv,1100,7502
dgemv,1100,7459
dgemv,1100,7394
dgemv,1100,7403
dgemv,1100,7394
dgemv,1100,7403
dgemv,1100,7394
ddot,1440000,10149
ddot,1440000,9844
ddot,1440000,9846
ddot,1440000,9851
ddot,1440000,9848
ddot,1440000,9831
ddot,1440000,9862
ddot,1440000,9848
ddot,1440000,9927
dgemv,1200,7802
dgemv,1200,7773
dgemv,1200,7827
dgemv,1200,7770
dgemv,1200,7772
dgemv,1200,7766
dgemv,1200,7788
dgemv,1200,7753
dgemv,1200,8036
ddot,1690000,11777
ddot,1690000,11507
ddot,1690000,11495
ddot,1690000,11508
ddot,1690000,11490
ddot,1690000,11502
ddot,1690000,11495
ddot,1690000,11518
ddot,1690000,11550
dgemv,1300,9062
dgemv,1300,9093
dgemv,1300,9034
dgemv,1300,9037
dgemv,1300,9031
dgemv,1300,9034
dgemv,1300,9033
dgemv,1300,9036
dgemv,1300,9085
ddot,1960000,16741
ddot,1960000,16380
ddot,1960000,16509
ddot,1960000,16387
ddot,1960000,16453
ddot,1960000,16434
ddot,1960000,16430
ddot,1960000,16428
ddot,1960000,16505
dgemv,1400,12009
dgemv,1400,12015
dgemv,1400,12011
dgemv,1400,12018
dgemv,1400,11974
dgemv,1400,12006
dgemv,1400,11993
dgemv,1400,12008
dgemv,1400,11971
ddot,2250000,15576
ddot,2250000,15459
ddot,2250000,15463
ddot,2250000,15504
ddot,2250000,15460
ddot,2250000,15464
ddot,2250000,15459
ddot,2250000,15455
ddot,2250000,15518
dgemv,1500,12119
dgemv,1500,12182
dgemv,1500,12210
dgemv,1500,12183
dgemv,1500,12181
dgemv,1500,12186
dgemv,1500,12186
dgemv,1500,12185
dgemv,1500,12184
ddot,2560000,17908
ddot,2560000,17631
ddot,2560000,17712
ddot,2560000,17745
ddot,2560000,17686
ddot,2560000,17697
ddot,2560000,17726
ddot,2560000,17645
ddot,2560000,17640
dgemv,1600,13686
dgemv,1600,13663
dgemv,1600,13654
dgemv,1600,13733
dgemv,1600,13670
dgemv,1600,13663
dgemv,1600,13665
dgemv,1600,13645
dgemv,1600,13665
ddot,2890000,24523
ddot,2890000,24259
ddot,2890000,24307
ddot,2890000,24368
ddot,2890000,24944
ddot,2890000,24396
ddot,2890000,24220
ddot,2890000,24270
ddot,2890000,24260
dgemv,1700,17888
dgemv,1700,17661
dgemv,1700,17680
dgemv,1700,17682
dgemv,1700,18358
dgemv,1700,17658
dgemv,1700,17662
dgemv,1700,17685
dgemv,1700,17735
ddot,3240000,22176
ddot,3240000,21888
ddot,3240000,21861
ddot,3240000,21863
ddot,3240000,21902
ddot,3240000,21870
ddot,3240000,21863
ddot,3240000,21917
ddot,3240000,21876
dgemv,1800,17489
dgemv,1800,17361
dgemv,1800,17358
dgemv,1800,17379
dgemv,1800,17387
dgemv,1800,17368
dgemv,1800,17367
dgemv,1800,17385
dgemv,1800,17362
ddot,3610000,24961
ddot,3610000,24720
ddot,3610000,24759
ddot,3610000,24703
ddot,3610000,24704
ddot,3610000,24769
ddot,3610000,24714
ddot,3610000,24711
ddot,3610000,24771
dgemv,1900,19266
dgemv,1900,19242
dgemv,1900,19252
dgemv,1900,19235
dgemv,1900,19236
dgemv,1900,19238
dgemv,1900,19236
dgemv,1900,19243
dgemv,1900,19242
ddot,4000000,27959
ddot,4000000,27701
ddot,4000000,27750
ddot,4000000,27940
ddot,4000000,27699
ddot,4000000,27719
ddot,4000000,28078
ddot,4000000,27713
ddot,4000000,27768
dgemv,2000,21349
dgemv,2000,21319
dgemv,2000,21327
dgemv,2000,21357
dgemv,2000,21398
dgemv,2000,21387
dgemv,2000,21816
dgemv,2000,21380
dgemv,2000,21319
ddot,4410000,37478
ddot,4410000,36758
ddot,4410000,36331
ddot,4410000,36277
ddot,4410000,36360
ddot,4410000,36313
ddot,4410000,36485
ddot,4410000,36402
ddot,4410000,36395
dgemv,2100,27940
dgemv,2100,27437
dgemv,2100,27132
dgemv,2100,27200
dgemv,2100,27104
dgemv,2100,27189
dgemv,2100,26992
dgemv,2100,27194
dgemv,2100,27009
ddot,4840000,33526
ddot,4840000,33308
ddot,4840000,33290
ddot,4840000,33498
ddot,4840000,33161
ddot,4840000,33117
ddot,4840000,33078
ddot,4840000,33117
