Method,Size,Time
naive,10,0.000063
naive,10,0.000056
naive,10,0.000045
naive,10,0.000059
naive,10,0.000049
naive,10,0.000048
naive,10,0.000041
naive,10,0.000047
naive,10,0.000048
better,10,0.000047
better,10,0.000045
better,10,0.000049
better,10,0.000044
better,10,0.000049
better,10,0.000046
better,10,0.000043
better,10,0.000056
better,10,0.000049
blas,10,0.000035
blas,10,0.000009
blas,10,0.000008
blas,10,0.000008
blas,10,0.000009
blas,10,0.000007
blas,10,0.000008
blas,10,0.000008
blas,10,0.000009
naive,20,0.000421
naive,20,0.000234
naive,20,0.000345
naive,20,0.000231
naive,20,0.000383
naive,20,0.000354
naive,20,0.000388
naive,20,0.000378
naive,20,0.000353
better,20,0.000549
better,20,0.000784
better,20,0.000398
better,20,0.000487
better,20,0.003684
better,20,0.000374
better,20,0.000306
better,20,0.000356
better,20,0.000229
blas,20,0.000048
blas,20,0.000077
blas,20,0.000063
blas,20,0.000154
blas,20,0.000055
blas,20,0.000060
blas,20,0.000062
blas,20,0.000056
blas,20,0.000037
naive,30,0.001224
naive,30,0.001219
naive,30,0.001179
naive,30,0.000854
naive,30,0.000907
naive,30,0.001015
naive,30,0.001090
naive,30,0.000723
naive,30,0.000722
better,30,0.001126
better,30,0.001184
better,30,0.001334
better,30,0.000713
better,30,0.000890
better,30,0.001006
better,30,0.000778
better,30,0.000768
better,30,0.000711
blas,30,0.000152
blas,30,0.000205
blas,30,0.000186
blas,30,0.000120
blas,30,0.000135
blas,30,0.000174
blas,30,0.000101
blas,30,0.000119
blas,30,0.000117
naive,40,0.001022
naive,40,0.001355
naive,40,0.000866
naive,40,0.000976
naive,40,0.000692
naive,40,0.000800
naive,40,0.001022
naive,40,0.000633
naive,40,0.001419
better,40,0.001034
better,40,0.000738
better,40,0.000873
better,40,0.000705
better,40,0.000680
better,40,0.000856
better,40,0.000725
better,40,0.000863
better,40,0.000637
blas,40,0.000329
blas,40,0.000114
blas,40,0.000127
blas,40,0.000114
blas,40,0.000113
blas,40,0.000175
blas,40,0.000150
blas,40,0.000145
blas,40,0.000151
naive,50,0.000906
naive,50,0.000735
naive,50,0.000661
naive,50,0.000662
naive,50,0.000661
naive,50,0.001205
naive,50,0.000611
naive,50,0.000660
naive,50,0.000664
better,50,0.000891
better,50,0.000655
better,50,0.000653
better,50,0.000653
better,50,0.000862
better,50,0.000650
better,50,0.000645
better,50,0.000719
better,50,0.000605
blas,50,0.000144
blas,50,0.000110
blas,50,0.000128
blas,50,0.000105
blas,50,0.000113
blas,50,0.000103
blas,50,0.000099
blas,50,0.000254
blas,50,0.000101
naive,60,0.001114
naive,60,0.001545
naive,60,0.001185
naive,60,0.001043
naive,60,0.001053
naive,60,0.001045
naive,60,0.001045
naive,60,0.001044
naive,60,0.001053
better,60,0.001100
better,60,0.001053
better,60,0.001066
better,60,0.001014
better,60,0.001015
better,60,0.001078
better,60,0.001017
better,60,0.001022
better,60,0.001014
blas,60,0.000207
blas,60,0.000170
blas,60,0.000163
blas,60,0.000161
blas,60,0.000160
blas,60,0.000157
blas,60,0.000162
blas,60,0.000160
blas,60,0.000168
naive,70,0.001700
naive,70,0.001524
naive,70,0.001538
naive,70,0.001886
naive,70,0.001636
naive,70,0.001648
naive,70,0.001578
naive,70,0.001523
naive,70,0.004634
better,70,0.001659
better,70,0.001516
better,70,0.001577
better,70,0.001691
better,70,0.001626
better,70,0.001515
better,70,0.001557
better,70,0.001781
better,70,0.002915
blas,70,0.000251
blas,70,0.000271
blas,70,0.000238
blas,70,0.000247
blas,70,0.000245
blas,70,0.000237
blas,70,0.000237
blas,70,0.000410
blas,70,0.000359
naive,80,0.002490
naive,80,0.002555
naive,80,0.002367
naive,80,0.002420
naive,80,0.002370
naive,80,0.002364
naive,80,0.002370
naive,80,0.002326
naive,80,0.002326
better,80,0.002447
better,80,0.002446
better,80,0.002308
better,80,0.002397
better,80,0.002436
better,80,0.002342
better,80,0.002307
better,80,0.002348
better,80,0.002422
blas,80,0.000350
blas,80,0.000338
blas,80,0.000389
blas,80,0.000439
blas,80,0.000390
blas,80,0.000412
blas,80,0.000374
blas,80,0.000386
blas,80,0.000385
naive,90,0.003398
naive,90,0.003323
naive,90,0.003305
naive,90,0.003375
naive,90,0.003517
naive,90,0.003299
naive,90,0.004288
naive,90,0.003240
naive,90,0.003249
better,90,0.003327
better,90,0.004131
better,90,0.003329
better,90,0.003364
better,90,0.003368
better,90,0.003415
better,90,0.003571
better,90,0.003359
better,90,0.003289
blas,90,0.000570
blas,90,0.000616
blas,90,0.000578
blas,90,0.000565
blas,90,0.000612
blas,90,0.000545
blas,90,0.000648
blas,90,0.000546
blas,90,0.000546
naive,100,0.004697
naive,100,0.004590
naive,100,0.004573
naive,100,0.004585
naive,100,0.004566
naive,100,0.004618
naive,100,0.006292
naive,100,0.004749
naive,100,0.004617
better,100,0.004576
better,100,0.004587
better,100,0.004632
better,100,0.004598
better,100,0.004856
better,100,0.006081
better,100,0.004633
better,100,0.004554
better,100,0.004575
blas,100,0.000633
blas,100,0.000608
blas,100,0.000609
blas,100,0.000608
blas,100,0.000658
blas,100,0.000919
blas,100,0.000619
blas,100,0.000762
blas,100,0.000610
naive,110,0.006445
naive,110,0.006455
naive,110,0.006337
naive,110,0.006628
naive,110,0.006265
naive,110,0.006119
naive,110,0.006037
